userId,logDate,deviceSleepLogCount,deviceSleepDurationInMin
6166166,2025-11-25,1,190
6166166,2025-11-26,1,125
6166166,2025-11-27,1,143
6166166,2025-11-28,1,111
6166166,2025-11-29,1,97
6166166,2025-11-30,1,135
6166166,2025-12-01,1,237
6166166,2025-12-02,1,218
6166166,2025-12-03,1,222
6166166,2025-12-08,1,107
6166166,2025-12-10,1,125
6166166,2025-12-11,1,439
6166166,2025-12-12,1,123
6166166,2025-12-13,1,100
6166166,2025-12-14,1,114
6166166,2025-12-15,1,96
6166166,2025-12-16,1,209
6166166,2025-12-17,1,108
6166227,2025-11-24,1,504
6166227,2025-11-25,1,334
6166227,2025-11-26,1,438
6166227,2025-11-28,1,329
6166227,2025-11-29,1,425
6166227,2025-11-30,1,377
6166227,2025-12-01,1,257
6166227,2025-12-02,1,349
6166227,2025-12-03,1,205
6166227,2025-12-04,1,383
6166227,2025-12-05,1,368
6166227,2025-12-06,1,303
6166227,2025-12-07,1,319
6166227,2025-12-08,1,308
6166227,2025-12-09,1,433
6166227,2025-12-10,1,0
6166227,2025-12-11,1,383
6166227,2025-12-12,1,316
6166227,2025-12-13,1,272
6166227,2025-12-14,1,299
6166227,2025-12-15,1,520
6166227,2025-12-16,1,250
6166227,2025-12-17,1,276
6166274,2025-11-24,1,307
6166274,2025-11-25,1,399
6166274,2025-11-26,1,353
6166274,2025-11-27,1,490
6166274,2025-11-28,1,376
6166274,2025-11-29,1,548
6166274,2025-11-30,1,479
6166274,2025-12-01,1,410
6166274,2025-12-02,1,399
6166274,2025-12-03,1,459
6166274,2025-12-04,1,507
6166274,2025-12-05,1,491
6166274,2025-12-08,1,422
6166274,2025-12-09,1,465
6166274,2025-12-10,1,497
6166274,2025-12-11,1,398
6166274,2025-12-12,1,536
6166274,2025-12-13,1,497
6166274,2025-12-14,1,452
6166274,2025-12-16,1,495
6166274,2025-12-17,1,209
6166305,2025-11-24,1,698
6166305,2025-11-25,1,759
6166305,2025-11-26,1,646
6166305,2025-11-28,1,505
6166305,2025-11-29,1,519
6166305,2025-11-30,1,479
6166305,2025-12-01,1,645
6166305,2025-12-02,1,546
6166305,2025-12-03,1,481
6166305,2025-12-05,1,539
6166305,2025-12-06,1,549
6166305,2025-12-07,1,366
6166305,2025-12-08,1,534
6166305,2025-12-09,1,484
6166305,2025-12-10,1,461
6166305,2025-12-11,1,390
6166305,2025-12-12,1,543
6166305,2025-12-13,1,516
6166305,2025-12-14,1,534
6166305,2025-12-15,1,452
6166305,2025-12-16,1,496
6166305,2025-12-17,1,540
6166306,2025-11-24,1,384
6166306,2025-11-25,1,377
6166306,2025-11-27,1,374
6166306,2025-11-29,1,444
6166306,2025-11-30,1,398
6166306,2025-12-03,1,518
6166306,2025-12-08,1,379
6166306,2025-12-09,1,52
6166306,2025-12-14,1,389
6166306,2025-12-16,1,46
6166310,2025-11-24,1,415
6166310,2025-11-25,1,415
